tconst	averageRating	numVotes
tt1891755	6.1	11191
tt6094944	6.8	337
tt0263883	5.4	11
tt0638894	7.5	108
tt0083612	6.2	165
tt0488349	5.2	1047
tt4041852	8.8	9
tt1868944	7.6	20
tt5976278	7.8	12
tt4610258	7.4	10
tt0040815	6.0	59
tt1581724	7.0	62
tt1286692	7.0	20
tt6380126	8.8	9
tt1030697	8.1	24
tt1785278	6.4	69
tt11792932	7.5	17
tt0588595	8.3	35
tt2902636	8.0	386
tt11293958	8.0	60
tt4967860	8.8	47
tt1318849	4.3	135
tt4250324	7.9	41
tt0984177	7.4	1934
tt26455132	7.6	57
tt0073781	7.4	1690
tt1681493	7.8	8
tt1087860	6.4	61
tt0098494	6.6	19
tt0732747	7.7	19
tt3107786	6.7	15
tt0396664	4.9	74
tt9630530	7.4	14
tt3066856	8.0	856
tt1071694	7.4	27
tt1485330	6.9	16
tt4913032	8.9	1028
tt0948140	8.0	18
tt4035552	5.5	13
tt0220356	7.4	33
tt0511492	6.2	54
tt12701612	8.6	52
tt1715860	7.0	13
tt1022818	7.3	32
tt0137937	5.0	432
tt1485059	9.0	16
tt4319160	8.0	24
tt1241949	7.0	12
tt4139124	6.2	49923
tt1382613	4.7	11
tt0149673	4.9	12
tt0668440	7.0	18
tt9849136	8.0	10
tt0723660	7.0	17
tt6035936	6.6	20
tt7151570	7.5	164
tt0545149	7.8	5
tt11343310	6.1	34
tt0131315	7.3	10
tt0659505	7.4	9
tt11979128	7.4	31
tt1007280	5.9	196
tt7639250	7.7	10
tt0529598	6.8	114
tt0790497	8.6	14
tt2066086	8.5	9
tt18952380	9.0	6
tt4006644	5.5	80
tt5050134	5.8	8
tt2235109	7.5	8
tt5991080	8.0	12
tt0771742	7.4	99
tt0231965	6.6	8
tt13479480	5.9	378
tt15047586	8.6	33
tt0486288	8.3	9
tt1348846	6.5	52
tt0924524	7.4	58
tt0436072	8.7	44
tt0379371	6.8	14
tt0131432	7.2	98
tt7172122	7.6	22
tt2093084	7.3	220
tt0068417	6.9	69
tt2510266	8.5	12
tt5963496	7.6	8
tt16030550	4.8	8
tt4489272	6.3	35
tt13821250	6.3	7
tt12702040	6.8	243
tt0228583	5.9	30
tt1860221	7.0	5
tt1623211	6.9	40
tt3031520	7.4	106
tt8984650	8.1	11
tt15714428	7.4	76
tt16163706	8.2	13
tt3889138	7.4	21
tt1285574	5.8	8
tt1764305	7.6	8
tt5289592	7.8	16
tt5811414	8.1	85
tt2076298	7.0	33717
tt4147550	8.2	11
tt13628806	8.4	5
tt0972844	7.7	2204
tt1797491	7.2	794
tt2265315	7.7	20
tt1301737	6.0	9
tt6428990	6.6	15
tt0257150	5.1	60
tt3009538	7.5	20
tt0575418	7.5	67
tt0404206	8.8	77
tt10688568	6.6	346
tt0322146	6.6	19
tt0112387	6.8	2298
tt3332740	8.0	9
tt22074588	6.8	22
tt1156526	3.3	498
tt0113285	6.6	6
tt4417622	8.3	8
tt9897526	5.9	27
tt9220942	6.9	23
tt0631466	6.6	7
tt11046446	6.9	25
tt1645556	7.5	671
tt4032450	5.1	446
tt4748384	10.0	6
tt1146611	7.5	26
tt0081287	6.3	15
tt20850148	6.4	15
tt3609154	8.2	3757
tt7779662	7.2	7
tt23056826	8.3	141
tt10637766	5.6	51
tt15692982	7.4	9
tt19718006	7.0	36
tt7076558	8.5	72
tt1098787	9.6	5
tt2426200	6.3	9
tt0509905	7.9	165
tt7758458	7.9	127
tt4080844	7.7	30
tt1345494	5.5	19
tt0441522	8.1	1878
tt1934427	7.1	103
tt11461120	7.6	8
tt2850108	7.2	79
tt0667799	7.9	9
tt0142788	5.3	40
tt0856841	8.8	23
tt1783254	6.8	475
tt1603150	7.8	55
tt2393917	6.7	413
tt6769378	8.1	11
tt0744337	6.9	17
tt3788224	9.2	7
tt4125734	6.8	5
tt1465769	7.4	7
tt23114968	6.4	252
tt21944718	7.0	8
tt11262046	9.3	16
tt17350558	6.9	60
tt1069714	7.3	21
tt1872042	7.3	10
tt0292609	5.0	78
tt0241634	5.3	11
tt4920058	5.9	37
